Identifier,PNL (*100%),Koef,USDProfit,Winrate,Single buy,Traded,Number of tokens traded,Buys,Sell,PnL < -0.5x %,PnL -0.5x to 0x %,PnL < 2x %,PnL 2x to 5x %,PnL > 5x %,Fast tx %,No buy hold ratio,SOL balance
FryHALDQjsHe9nuwgKP1AMHY4r9sKyH6Crjezy8JHr3H,0.56,4.651702267,"1,345.53",56.25%,20.6611,140,44,117,23,2.27%,13.64%,84.09%,0.00%,0.00%,0.00%,0.00%,1.000112879
FryHALDQjsHe9nuwgKP1AMHY4r9sKyH6Crjezy8JHr3H,0.55,4.612235023,"1,322.12",56.25%,21.2337,135,44,113,22,2.27%,13.64%,84.09%,0.00%,0.00%,0.00%,0.00%,1.000174639
9ofEeTELe4Ngjp9284kQ2ieznkiH73kWhiS5Bu72FoYJ,1.17,4.531818398,"36,846.08",78.57%,956.5328,85,24,33,52,4.17%,8.33%,66.67%,12.50%,8.33%,4.17%,0.00%,0.673745412
7tQfpMCM8bPWgfLGaQ2G3RQ5gAgQneqHbtgAn4FdN2m1,0.85,4.482254159,"13,944.29",54.84%,288.0555,108,31,57,51,0.00%,41.94%,48.39%,6.45%,3.23%,6.45%,8.82%,8.428538067
2MCJKwmRVfCeXsathZj9NYL7ihyWbW4rGZqgqU8Rc2YC,0.6,4.364214624,"4,967.94",60.00%,110.518,103,44,75,28,13.64%,9.09%,70.45%,2.27%,4.55%,0.00%,0.00%,0.087531147
3UD5gz9AMPoZAx77yr3ojA1TmRWqViJ35n6EkPj1jr9J,0.82,4.359791405,"4,172.58",88.57%,118.1555,81,47,43,38,6.38%,2.13%,89.36%,2.13%,0.00%,2.13%,0.00%,0.700145029
D7xK1ZLz8KQNWN8aU1jbzNAuT5xwqgFrCUUYodVU4G42,0.59,4.326574108,"46,744.76",43.41%,87.2002,1239,134,910,329,10.45%,44.03%,41.79%,3.73%,0.00%,1.49%,6.29%,30.7455362
35aprGooE1TmYQr3h9ycckF64nHMJYYTo1eaAbxssLch,0.61,4.310900451,"2,206.54",52.94%,50.1815,102,20,72,30,20.00%,35.00%,40.00%,5.00%,0.00%,0.00%,0.00%,0.03879312
Ajktg5ChFD827z1jVK3Yip8C3MNGB9QwR3wFaaUaHqMi,0.67,4.301387284,"8,020.68",68.42%,132.2463,141,62,91,50,14.52%,4.84%,72.58%,6.45%,1.61%,1.61%,0.00%,0.972752599
6XCURGYmDpHx6PaPuXdv8oC851JQ5JfhiFxgFR6gaUyb,0.56,4.259740983,"5,151.30",47.37%,114.0848,106,30,80,26,20.00%,13.33%,50.00%,6.67%,10.00%,0.00%,0.00%,0.034044805
6KaD13GNTdwUb36As3WSjhBJhr56soTz7kXHZGMyekdX,1,4.157651912,"11,820.69",61.11%,118.4632,240,36,100,140,8.33%,30.56%,50.00%,5.56%,5.56%,2.78%,0.00%,57.13195024
7tQfpMCM8bPWgfLGaQ2G3RQ5gAgQneqHbtgAn4FdN2m1,0.78,4.12078334,"14,339.37",54.84%,299.98,116,31,61,55,0.00%,41.94%,48.39%,6.45%,3.23%,6.45%,8.82%,11.94622463
3UD5gz9AMPoZAx77yr3ojA1TmRWqViJ35n6EkPj1jr9J,0.76,4.016674898,"4,003.74",88.57%,117.2682,85,47,45,40,6.38%,2.13%,89.36%,2.13%,0.00%,2.13%,0.00%,0.700107924
9hRY7PRJmVuJg1YmMhbBTT3QVWU6f42UmuzRvKvL89fJ,0.61,3.932286849,"3,226.59",81.82%,107.9655,76,21,49,27,0.00%,9.52%,80.95%,9.52%,0.00%,0.00%,0.00%,1.100071839
HhHb9tyaMxSrhvhBb3wrxeKaZaNDBQegt2Bp8V2SkE7M,0.5,3.920036455,"4,285.91",43.75%,90.3582,121,23,94,27,34.78%,30.43%,17.39%,4.35%,13.04%,0.00%,0.00%,22.70016625
D7xK1ZLz8KQNWN8aU1jbzNAuT5xwqgFrCUUYodVU4G42,0.52,3.783523008,"52,328.51",44.29%,104.3034,1326,144,964,362,9.03%,44.44%,41.67%,4.86%,0.00%,2.08%,5.88%,63.02873933
6dFddD95f7bSLQrZ9qB1UMRyrZjnj6XCsdVSLwnCyKRJ,0.56,3.756370117,"4,814.67",57.89%,132.1376,97,37,65,32,16.22%,5.41%,67.57%,10.81%,0.00%,0.00%,0.00%,1.100121471
4DSMESFEdKVXwwb5upXVmz29DPLkEYZ2o2jpemWMyXKG,1.61,3.731198421,"17,324.37",76.92%,566.2331,82,13,19,63,0.00%,23.08%,61.54%,7.69%,7.69%,15.38%,0.00%,15.20076568
J6cQLedAo8hT2m9fZUjjvqMDpCWy9WeUfj5XNd6ruw8H,0.82,3.727274717,"7,084.44",44.44%,118.7939,160,36,73,87,2.78%,52.78%,36.11%,2.78%,5.56%,8.33%,0.00%,38.35365909
5yfSyKJnngZVBZu6tq5NiYizAPpnQfardWyuKe7Dzksx,0.55,3.704058664,"3,476.45",69.23%,98.7949,95,52,64,31,13.46%,1.92%,78.85%,5.77%,0.00%,0.00%,0.00%,0.550092195
AjknKDbfKChgvsMUjssRuw9veRqZ4UAdbrdECv48rEjc,0.51,3.681457107,"2,254.80",52.63%,80.5888,76,42,55,21,16.67%,4.76%,73.81%,4.76%,0.00%,0.00%,0.00%,0.137815067
Eq4QAnrMdXCbKQ75NiQY6o6Vomdywvpb5j4msV2jHYbm,0.71,3.552368185,"4,278.89",47.06%,150.5647,80,17,40,40,17.65%,35.29%,23.53%,17.65%,5.88%,17.65%,0.00%,2.180436201
eeeeAZZ8jNntdEWRdLgUfL7cDPeYePcD1r2udtTy5yX,1,3.529073051,"20,067.06",60.38%,280.109,203,54,72,131,3.70%,31.48%,62.96%,1.85%,0.00%,14.81%,5.26%,26.485229
4DSMESFEdKVXwwb5upXVmz29DPLkEYZ2o2jpemWMyXKG,1.48,3.516058759,"17,285.58",76.92%,585.2596,84,13,20,64,0.00%,23.08%,61.54%,7.69%,7.69%,15.38%,0.00%,15.00621727
eeeeAZZ8jNntdEWRdLgUfL7cDPeYePcD1r2udtTy5yX,0.96,3.476082258,"19,961.27",60.38%,276.0799,208,54,75,133,3.70%,31.48%,62.96%,1.85%,0.00%,14.81%,5.26%,25.92558385
eeeeAZZ8jNntdEWRdLgUfL7cDPeYePcD1r2udtTy5yX,0.94,3.394193272,"19,897.99",60.38%,279.1601,210,54,76,134,3.70%,31.48%,62.96%,1.85%,0.00%,14.81%,5.26%,25.60293274
Eq4QAnrMdXCbKQ75NiQY6o6Vomdywvpb5j4msV2jHYbm,0.67,3.387661068,"4,147.60",47.06%,144.0383,85,17,43,42,17.65%,35.29%,23.53%,17.65%,5.88%,17.65%,0.00%,0.184641125
BpkcCraXyf1U8Q98Gt9KimUgRMJzwsw5qKsTZz2YAYKU,0.52,3.363749607,"4,354.96",65.38%,136.2815,95,43,61,34,20.93%,0.00%,72.09%,4.65%,2.33%,2.33%,2.27%,1.100041611
Hw5dBNRDp8FYGPF4pachaHr7YA8Wd4FwnNkVV8xJimUp,0.51,3.351139757,"4,208.36",59.26%,107.3333,117,51,77,40,17.65%,3.92%,70.59%,7.84%,0.00%,0.00%,0.00%,0.550132359
9wRDX3D5QnLwf8KB6Wd97vtYhppn5r2qupfjfLCS19CM,0.79,3.339754848,"7,442.88",64.29%,285.7142,78,14,33,45,14.29%,21.43%,50.00%,7.14%,7.14%,7.14%,0.00%,15.00775306
KzG614pCAanj1oMN3Un1PDxc4JY2UTqEjgWp6TMa9ze,0.62,3.327578934,"13,092.85",78.57%,333.4447,118,40,63,55,7.50%,7.50%,77.50%,7.50%,0.00%,0.00%,0.00%,2.211846281
8Cq6trCdfGYNnG9o43UZdfQA8kftvck4uumwFUouBERd,0.66,3.289617323,"7,672.16",46.15%,138.8235,168,52,84,84,1.92%,51.92%,46.15%,0.00%,0.00%,13.46%,7.14%,5.615849355
6ESjUGEXABK3tBKYiDe8eRMPxtm3ZGg4Gu6UA9jdcf74,0.78,3.180180134,"10,867.24",82.35%,310.6525,110,51,45,65,0.00%,15.69%,72.55%,11.76%,0.00%,3.92%,0.00%,15.36005818
